Date,Open,High,Low,Close,Adj Close,Volume,Class
1/7/2015,45.91,46.290001,45.02,46,38.97958,20389900,Train
1/8/2015,46.07,47.439999,45.110001,45.48,38.53894,21296400,Train
1/15/2015,45.869999,45.98,44.77,45.630001,38.666046,16968000,Train
1/22/2015,45.950001,46.759998,45.080002,45.16,38.267776,17150000,Train
1/29/2015,44.299999,45.23,42.759998,43.459999,36.827232,25789300,Train
2/5/2015,43.77,44.240002,42.509998,44.07,37.344135,20782200,Train
2/12/2015,44.43,44.73,43.130001,43.869999,37.174664,19620400,Train
2/19/2015,44.610001,44.619999,42.82,43.889999,37.407631,25092400,Train
2/26/2015,43.880001,45.610001,43.630001,44.59,38.00425,28518000,Train
3/5/2015,45.029999,45.549999,43.810001,43.84,37.365017,18243400,Train
3/12/2015,44.57,46.830002,44.439999,46.720001,39.819656,18136200,Train
3/19/2015,46.48,47.240002,44.330002,44.400002,37.842308,27056300,Train
3/26/2015,43.950001,48.080002,43.740002,47.48,40.467411,31532000,Train
4/2/2015,47.580002,49.209999,47.419998,48.610001,41.430504,19610000,Train
4/9/2015,48.549999,48.66,46.98,47.009998,40.066822,12662400,Train
4/16/2015,46.98,47.610001,45.939999,46.619999,39.734425,17729700,Train
4/23/2015,46.450001,46.950001,43.759998,44.400002,37.842308,17494300,Train
4/30/2015,44.720001,44.880001,43.099998,43.450001,37.032616,15287400,Train
5/7/2015,44.169998,46.91,44.040001,45.77,39.009972,17387300,Train
5/14/2015,46.369999,48.560001,46.330002,47.52,40.501499,16812500,Train
5/21/2015,47.41,47.75,46.84,47.59,40.771938,9385900,Train
5/28/2015,47.389999,47.919998,46.25,47.82,40.968971,13045700,Train
6/4/2015,47.369999,47.790001,46.779999,47,40.266468,13276500,Train
6/11/2015,47.169998,47.860001,46.549999,47.580002,40.763371,11307800,Train
6/18/2015,47.59,50.939999,47.470001,49.84,42.699581,27747200,Train
6/25/2015,50.560001,51,48.900002,49.630001,42.519672,19968200,Train
7/2/2015,49.880001,50.27,48.57,48.93,41.91996,14311900,Train
7/9/2015,49.950001,52.400002,49.18,51.84,44.413052,17895000,Train
7/16/2015,52.330002,52.470001,51.720001,52.369999,44.867119,14155700,Train
7/23/2015,52.310001,52.450001,50.529999,52.099998,44.635796,13202400,Train
7/30/2015,51.560001,54.049999,51.16,52.630001,45.08987,19648600,Train
8/6/2015,52.959999,53.060001,50.91,51.16,43.830471,18974900,Train
8/13/2015,51.459999,53.07,51.310001,52.299999,44.807152,12016000,Train
8/20/2015,51.549999,51.599998,44.720001,48.849998,42.090576,33861600,Train
8/27/2015,49.029999,49.82,47.419998,49.439999,42.59893,21660100,Train
9/3/2015,49.84,51.450001,48.470001,50.529999,43.538109,13091800,Train
9/10/2015,50.630001,52.959999,50.240002,52.869999,45.554321,16802500,Train
9/17/2015,52.759998,53.540001,49.549999,51.5,44.373878,35568100,Train
9/24/2015,50.830002,51.619999,47.790001,49.700001,42.822952,24115100,Train
10/1/2015,50.009998,50.740002,48.240002,49.25,42.435219,25058800,Train
10/8/2015,48.990002,50.619999,48.27,48.360001,41.668365,19789900,Train
10/15/2015,49.130001,52.25,48.900002,51.459999,44.339424,19335300,Train
10/22/2015,51.700001,54.099998,51.509998,53.290001,45.916203,17361900,Train
10/29/2015,53.369999,54.59,51.830002,52.799999,45.494011,17532200,Train
11/5/2015,51.66,53.459999,51.630001,52.830002,45.519855,15231900,Train
11/12/2015,52.509998,52.66,49.740002,50.290001,43.331322,19762300,Train
11/19/2015,50.939999,51.939999,49.73,50.990002,44.198429,23567300,Train
11/26/2015,51.110001,51.66,50.389999,51.18,44.363121,12852500,Train
12/3/2015,51.41,51.48,49.150002,50.310001,43.608997,20892200,Train
12/10/2015,50.73,52.369999,50.110001,52.200001,45.247272,26830800,Train
12/17/2015,52,54.619999,50.330002,54.080002,46.876858,28495400,Train
12/24/2015,54.459999,55.77,53.810001,55.040001,47.708992,10159500,Train
